FIPS_Code,State,County,Civilian_labor_force_2022,Employed_2022,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Unemployed_2022,Unemployment_rate_2022,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
13001,GA,appling,9693,9346,70.4,51217,347,3.6,18.55,31.4,40.65
13003,GA,atkinson,4316,4193,63.3,46060,123,2.8,20.4,34.95,42.15
13005,GA,bacon,4848,4700,63.3,46044,148,3.1,21.55,32.3,41.25
13007,GA,baker,1116,1070,68.9,50129,46,4.1,17.3,32.7,42.05
13009,GA,baldwin,17648,16918,68.6,49883,730,4.1,17.15,29.75,38.7
13011,GA,banks,11183,10932,92,66928,251,2.2,21.85,30.45,36.85
13013,GA,barrow,42983,41863,106.7,77583,1120,2.6,14.35,24.95,40
13015,GA,bartow,52182,50633,110,80017,1549,3,15.4,26.2,37.9
13017,GA,ben hill,5593,5343,56.6,41141,250,4.5,22.95,36.65,41.9
13019,GA,berrien,7752,7498,67,48725,254,3.3,20.3,31.4,38.75
13021,GA,bibb,65086,62563,66.7,48539,2523,3.9,17.8,32.45,48.3
13023,GA,bleckley,4567,4366,77.1,56070,201,4.4,16,27.05,41.6
13025,GA,brantley,7388,7124,69.2,50370,264,3.6,20.9,31.65,39.45
13027,GA,brooks,6651,6435,59.6,43353,216,3.2,21.05,35.7,42.2
13029,GA,bryan,20117,19579,127.9,93057,538,2.7,13.75,21.7,37.4
13031,GA,bulloch,38395,37053,68,49471,1342,3.5,15.15,24.55,37.7
13033,GA,burke,8999,8516,68,49431,483,5.4,18.8,30.65,44.9
13035,GA,butts,11307,10983,85.6,62231,324,2.9,18.75,29.25,40.2
13037,GA,calhoun,2235,2163,54.6,39681,72,3.2,23.85,36.8,46.6
13039,GA,camden,21813,21139,93,67628,674,3.1,17.7,27.25,37.7
13043,GA,candler,6027,5876,61.2,44493,151,2.5,21.45,35.2,44
13045,GA,carroll,57136,55328,96.1,69924,1808,3.2,14.6,25.15,36.6
13047,GA,catoosa,33434,32512,92,66918,922,2.8,14.2,24.05,36.65
13049,GA,charlton,5051,4888,66.2,48147,163,3.2,21.2,32,42.15
13051,GA,chatham,144022,139525,88,64029,4497,3.1,13.3,22.85,35.8
13053,GA,chattahoochee,1882,1793,79.1,57507,89,4.7,16.6,27.55,40.6
13055,GA,chattooga,9282,8881,69.7,50714,401,4.3,20.6,32.7,38.95
13057,GA,cherokee,142420,138955,137.4,99932,3465,2.4,13.35,22.25,35.5
13059,GA,clarke,57972,55998,68.5,49832,1974,3.4,14.1,25.75,35.3
13061,GA,clay,828,771,52.2,37961,57,6.9,16,31.25,44.2
13063,GA,clayton,139968,134296,79.2,57625,5672,4.1,17.95,34.1,45.5
13065,GA,clinch,3034,2948,62.7,45595,86,2.8,22.8,36.75,45
13067,GA,cobb,430506,419024,133.1,96798,11482,2.7,9.6,16.7,28.95
13069,GA,coffee,18560,17875,67.1,48792,685,3.7,20.5,33.75,41.35
13071,GA,colquitt,21895,21252,67.7,49214,643,2.9,21.55,36.2,40.25
13073,GA,columbia,75689,73484,129.5,94224,2205,2.9,15.1,24.05,36.15
13075,GA,cook,8226,7963,61.1,44476,263,3.2,19.4,32.75,40.65
13077,GA,coweta,77557,75424,120.5,87618,2133,2.8,13.65,22,44.25
13079,GA,crawford,5340,5167,82.9,60295,173,3.2,19.1,29.75,41.4
13081,GA,crisp,9731,9305,60.3,43884,426,4.4,18.5,31.5,44.55
13083,GA,dade,8038,7822,82.1,59708,216,2.7,15.45,24,35.75
13085,GA,dawson,13388,13047,116.2,84551,341,2.5,12.4,21.65,34.85
13087,GA,decatur,11716,11322,63.9,46455,394,3.4,18.55,31.7,39.8
13089,GA,dekalb,404413,391314,105.5,76736,13099,3.2,13.15,21.45,33.65
13091,GA,dodge,6854,6588,60.2,43783,266,3.9,17.3,29.65,44.5
13093,GA,dooly,4726,4531,63.5,46191,195,4.1,18.6,32.2,43.8
13095,GA,dougherty,36387,34767,58.6,42629,1620,4.5,18.5,32.05,44
13097,GA,douglas,74978,72462,108.9,79242,2516,3.4,14.85,26.85,43.05
13099,GA,early,4252,4088,59.7,43417,164,3.9,20.45,34.1,44.85
13101,GA,echols,1857,1810,64.9,47195,47,2.5,17.8,29.5,41.7
13103,GA,effingham,33627,32741,121.1,88111,886,2.6,15,23.4,38.95
13105,GA,elbert,7844,7543,67.7,49220,301,3.8,19.5,31.8,42.25
13107,GA,emanuel,8684,8318,64.6,46975,366,4.2,21.85,33.6,42.65
13109,GA,evans,5032,4880,62.1,45163,152,3,21.8,35.45,44.65
13111,GA,fannin,11927,11599,83.3,60604,328,2.8,18.55,29.05,38.7
13113,GA,fayette,59436,57837,150.3,109358,1599,2.7,10.45,20.4,31.25
13115,GA,floyd,44672,43261,77.9,56651,1411,3.2,18.2,30.2,39.9
13117,GA,forsyth,129933,126811,180,130909,3122,2.4,10.05,18.8,31.75
13119,GA,franklin,9983,9656,68.7,49940,327,3.3,18.65,29.7,36.45
13121,GA,fulton,574466,555616,123.4,89798,18850,3.3,10.65,19.9,30
13123,GA,gilmer,12505,12113,93.9,68294,392,3.1,14.7,25.65,36.9
13125,GA,glascock,1248,1208,76.4,55539,40,3.2,17.65,27.85,37.25
13127,GA,glynn,39564,38360,87.3,63532,1204,3,13.5,25.2,35.65
13129,GA,gordon,28906,28062,87.9,63946,844,2.9,20.15,31,40.05
13131,GA,grady,10878,10540,66.7,48548,338,3.1,19.2,34.6,41.7
13133,GA,greene,7353,7113,102.4,74488,240,3.3,14.15,27.05,38.8
13135,GA,gwinnett,500085,486171,115.4,83918,13914,2.8,11.85,23.1,33.5
13137,GA,habersham,18689,18094,85.8,62428,595,3.2,17.45,30,36.45
13139,GA,hall,107053,104415,105.6,76789,2638,2.5,17.05,28.8,34.95
13141,GA,hancock,2499,2372,53,38570,127,5.1,21.75,36.55,47.3
13143,GA,haralson,12994,12588,79.6,57912,406,3.1,18.8,27.7,33.95
13145,GA,harris,16571,16098,124.6,90636,473,2.9,15,23.6,32.95
13147,GA,hart,12097,11721,77.2,56137,376,3.1,16.05,27.25,35.85
13149,GA,heard,5316,5152,78,56724,164,3.1,19.5,28.75,41.15
13151,GA,henry,120416,116498,113.2,82379,3918,3.3,13,23.85,39.45
13153,GA,houston,70326,68062,97.9,71237,2264,3.2,13.95,26.35,39.2
13155,GA,irwin,3528,3384,67.7,49224,144,4.1,19.25,31.25,40.25
13157,GA,jackson,48197,47224,112.9,82138,973,2,16.95,26.95,41.7
13159,GA,jasper,7186,6993,87.6,63718,193,2.7,18.6,29.35,39.75
13161,GA,jeff davis,6148,5919,63.4,46143,229,3.7,22.4,33.8,41.25
13163,GA,jefferson,6556,6283,61.1,44459,273,4.2,22.95,37,44.2
13165,GA,jenkins,3286,3141,57.5,41830,145,4.4,23.1,37.3,44.3
13167,GA,johnson,4023,3904,58.6,42603,119,3,22.95,35.4,42.75
13169,GA,jones,13245,12842,90.1,65515,403,3,17.6,28.55,40.05
13171,GA,lamar,8370,8087,84.6,61542,283,3.4,17.55,28.05,41.2
13173,GA,lanier,3753,3620,69.7,50671,133,3.5,21.25,33.85,41.15
13175,GA,laurens,19257,18496,65.9,47918,761,4,19.2,31.55,41.35
13177,GA,lee,15010,14563,115.8,84260,447,3,15.25,24.9,36.85
13179,GA,liberty,26025,25141,82.2,59807,884,3.4,16.4,27.7,45
13181,GA,lincoln,3500,3374,95.9,69776,126,3.6,16.45,27.75,37.5
13183,GA,long,8428,8157,98,71285,271,3.2,18.25,29.2,41.5
13185,GA,lowndes,50175,48471,72.3,52623,1704,3.4,17.25,28.25,38.55
13187,GA,lumpkin,17974,17510,98.3,71486,464,2.6,14.65,24.75,33.95
13189,GA,mcduffie,8389,8005,69.6,50593,384,4.6,16.55,30.65,43.65
13191,GA,mcintosh,6192,5994,70.7,51411,198,3.2,18.35,31,42
13193,GA,macon,4523,4328,55.1,40089,195,4.3,25.95,41.8,48.2
13195,GA,madison,13371,12973,80.8,58789,398,3,18.75,29.9,39.15
13197,GA,marion,3201,3083,64.9,47174,118,3.7,19.65,32.65,39.85
13199,GA,meriwether,8969,8616,72.9,53019,353,3.9,19.3,31.95,40.7
13201,GA,miller,2854,2776,62.1,45201,78,2.7,21.1,34.6,41.3
13205,GA,mitchell,8231,7894,62.3,45296,337,4.1,21.2,35.15,46.6
13207,GA,monroe,12721,12350,105.1,76428,371,2.9,16.4,25.95,37.65
13209,GA,montgomery,3820,3668,66.5,48356,152,4,21.35,33.15,42.4
13211,GA,morgan,9673,9404,102.2,74340,269,2.8,13.45,23.2,36.05
13213,GA,murray,15366,14735,85.4,62109,631,4.1,18.3,30.95,38.05
13215,GA,muscogee,74408,71202,73.9,53740,3206,4.3,17,30.95,41.65
13217,GA,newton,54193,52281,99.2,72128,1912,3.5,16.7,27.65,42.3
13219,GA,oconee,19998,19524,157.8,114758,474,2.4,11.8,19.25,33.15
13221,GA,oglethorpe,6913,6719,85.9,62504,194,2.8,17.2,28.2,36.15
13223,GA,paulding,91217,88756,120.2,87459,2461,2.7,15.3,25.2,38.8
13225,GA,peach,11789,11325,80.4,58471,464,3.9,16.8,28.8,42.15
13227,GA,pickens,15881,15460,98.9,71955,421,2.7,14.2,24.45,36.8
13229,GA,pierce,8675,8424,72.4,52695,251,2.9,16.8,27.7,39.85
13231,GA,pike,9181,8926,110.8,80626,255,2.8,14.5,24.3,34.45
13233,GA,polk,18596,18008,75.5,54894,588,3.2,18.6,30.8,41.7
13235,GA,pulaski,3980,3844,64.6,46975,136,3.4,19.8,33,43.25
13237,GA,putnam,8752,8439,85.6,62241,313,3.6,16.7,29.75,41.9
13239,GA,quitman,728,691,57.1,41516,37,5.1,18.85,32.95,43.7
13241,GA,rabun,7799,7566,87.1,63387,233,3,15.8,25.5,36.6
13243,GA,randolph,2374,2265,53.9,39188,109,4.6,25,43.15,47.95
13245,GA,richmond,82486,78895,68.8,50079,3591,4.4,18.1,30.15,44.05
13247,GA,rockdale,45162,43544,99,71984,1618,3.6,15.35,29,45
13249,GA,schley,2141,2058,79.1,57510,83,3.9,17.2,28.7,38.2
13251,GA,screven,4997,4772,72.5,52713,225,4.5,20.35,31.1,42.4
13253,GA,seminole,3095,2982,62.2,45223,113,3.7,18.6,30.55,42.05
13255,GA,spalding,29289,28282,75.7,55086,1007,3.4,18.7,31,40.1
13257,GA,stephens,10559,10169,71.5,51980,390,3.7,17.5,28.9,37.5
13259,GA,stewart,2592,2494,56.6,41158,98,3.8,21,36.4,42.8
13261,GA,sumter,12162,11645,61.4,44677,517,4.3,18.05,31.9,43.25
13263,GA,talbot,2786,2680,62.1,45163,106,3.8,20.05,34.3,43.75
13265,GA,taliaferro,542,519,57.9,42138,23,4.2,19.2,33.8,43.3
13267,GA,tattnall,9373,9080,65.2,47401,293,3.1,20.2,32.7,46.05
13269,GA,taylor,2591,2457,60.5,44035,134,5.2,23.05,36.5,42.65
13271,GA,telfair,3575,3364,57.1,41547,211,5.9,21.75,37.55,45.65
13273,GA,terrell,3477,3315,73.2,53281,162,4.7,21.65,36.3,46.95
13275,GA,thomas,17042,16421,71.8,52236,621,3.6,16.75,27.05,38.8
13277,GA,tift,21063,20461,72.8,52962,602,2.9,17.5,32.1,41.75
13279,GA,toombs,12003,11529,62,45125,474,3.9,16.65,28.95,42.3
13281,GA,towns,4047,3876,81.5,59273,171,4.2,13.3,24.7,36.5
13283,GA,treutlen,2618,2511,59.8,43533,107,4.1,21.45,35.6,43.1
13285,GA,troup,36794,35671,76.8,55852,1123,3.1,16.4,28.5,41.6
13287,GA,turner,3169,3036,56.2,40865,133,4.2,21.65,35.75,43.45
13289,GA,twiggs,2712,2582,67,48772,130,4.8,18.25,31.9,42.1
13291,GA,union,11401,11086,88.8,64588,315,2.8,17.25,27.2,37
13293,GA,upson,11644,11261,66.1,48061,383,3.3,19.65,31.65,41.7
13295,GA,walker,31259,30289,73.4,53407,970,3.1,19.85,32.2,41.65
13297,GA,walton,47915,46539,114.2,83037,1376,2.9,17.55,27.35,35.8
13299,GA,ware,15454,14968,66.3,48245,486,3.1,20.8,31.9,39.35
13301,GA,warren,2693,2587,61,44367,106,3.9,19.7,33.35,44.35
13303,GA,washington,6927,6646,66.6,48462,281,4.1,19.7,32.65,43.15
13305,GA,wayne,11847,11465,70.3,51102,382,3.2,20.95,31.95,41.45
13307,GA,webster,986,948,63.2,45987,38,3.9,20,34.25,43.2
13309,GA,wheeler,1629,1543,49.4,35952,86,5.3,24.75,34.55,47.3
13311,GA,white,16922,16504,85.4,62100,418,2.5,14.35,22.65,35.35
13313,GA,whitfield,43138,41447,84.8,61680,1691,3.9,18.35,30.85,36.8
13315,GA,wilcox,2660,2558,61.7,44905,102,3.8,19.9,31.65,41.25
13317,GA,wilkes,3710,3556,65.1,47377,154,4.2,19.25,33.25,43.65
13319,GA,wilkinson,3485,3353,68.3,49648,132,3.8,20.8,33.8,43.4
13321,GA,worth,8736,8455,67.3,48956,281,3.2,18.5,31.05,39.1
